size,alpha,beta,decay,deepaco_mean,vanilla_mean
100,0.5,0.5,0.3,18.434448337554933,45.39668376922607
100,0.5,0.5,0.5,18.52019702911377,45.3533455657959
100,0.5,0.5,0.7,18.43549259185791,45.38354724884033
100,0.5,0.5,0.9,18.506927947998047,45.4235786819458
100,0.5,2.0,0.3,16.113100814819337,25.137709541320802
100,0.5,2.0,0.5,16.077424812316895,25.248253078460692
100,0.5,2.0,0.7,16.115540895462036,25.309570922851563
100,0.5,2.0,0.9,16.058073577880858,25.387819385528566
100,0.5,4.0,0.3,16.10564702987671,18.217936000823975
100,0.5,4.0,0.5,16.038366651535036,18.282200965881348
100,0.5,4.0,0.7,16.09256588935852,18.274532804489137
100,0.5,4.0,0.9,16.12952383995056,18.298226642608643
100,1.0,0.5,0.3,18.3098406791687,45.62659030914307
100,1.0,0.5,0.5,18.408579959869385,45.537868614196775
100,1.0,0.5,0.7,18.514124965667726,45.52597297668457
100,1.0,0.5,0.9,18.39161626815796,45.549242134094236
100,1.0,2.0,0.3,16.057030363082887,24.749420471191407
100,1.0,2.0,0.5,16.078829021453856,25.109496879577637
100,1.0,2.0,0.7,16.095897569656373,25.108939552307127
100,1.0,2.0,0.9,16.148550701141357,25.28117021560669
100,1.0,4.0,0.3,16.090310564041136,17.98170283317566
100,1.0,4.0,0.5,16.085583658218383,18.099138164520262
100,1.0,4.0,0.7,16.069057149887087,18.205861701965333
100,1.0,4.0,0.9,16.0823680973053,18.154515037536623
100,2.0,0.5,0.3,18.01776252746582,45.45524356842041
100,2.0,0.5,0.5,18.304451141357422,45.33035293579101
100,2.0,0.5,0.7,18.313239545822142,45.366027908325194
100,2.0,0.5,0.9,18.358245239257812,45.41524642944336
100,2.0,2.0,0.3,16.078851327896118,24.35202335357666
100,2.0,2.0,0.5,16.108053112030028,24.808010177612303
100,2.0,2.0,0.7,16.037273006439207,25.136375999450685
100,2.0,2.0,0.9,16.076130208969115,25.14596508026123
100,2.0,4.0,0.3,16.197974061965944,17.766711502075196
100,2.0,4.0,0.5,16.051963062286376,18.09163417816162
100,2.0,4.0,0.7,16.093466749191283,18.134840545654296
100,2.0,4.0,0.9,16.075710344314576,18.126117458343504
100,4.0,0.5,0.3,17.916288003921508,45.69059883117676
100,4.0,0.5,0.5,18.07367455482483,45.32691436767578
100,4.0,0.5,0.7,18.222023248672485,45.51432094573975
100,4.0,0.5,0.9,18.210792713165283,45.4511222076416
100,4.0,2.0,0.3,16.13890419960022,23.497601356506348
100,4.0,2.0,0.5,16.118934650421142,24.448299713134766
100,4.0,2.0,0.7,16.048150157928468,24.84007848739624
100,4.0,2.0,0.9,16.180817232131957,24.893707904815674
100,4.0,4.0,0.3,16.2308789730072,17.738327932357787
100,4.0,4.0,0.5,16.18313123703003,17.79286445617676
100,4.0,4.0,0.7,16.1399697971344,17.966746768951417
100,4.0,4.0,0.9,16.142481145858763,18.043954849243164
